scientific,month,gno,count,longitude,latitude
Amaurornis phoenicurus,5,656,2,114.0576403,22.50859894
Amaurornis phoenicurus,5,1528,1,114.3685028,22.40016411
Amaurornis phoenicurus,6,860,2,113.9993603,22.48145416
Amaurornis phoenicurus,6,930,2,113.9993718,22.47242379
Amaurornis phoenicurus,6,1004,2,114.0382471,22.46343147
Amaurornis phoenicurus,6,656,2,114.0576403,22.50859894
Amaurornis phoenicurus,7,1138,1,113.979977,22.44531008
Amaurornis phoenicurus,7,930,3,113.9993718,22.47242379
Amaurornis phoenicurus,7,931,3,114.0090884,22.47243418
Amaurornis phoenicurus,7,1074,2,114.038256,22.45440106
Amaurornis phoenicurus,7,656,2,114.0576403,22.50859894
Amaurornis phoenicurus,8,860,1,113.9993603,22.48145416
Amaurornis phoenicurus,8,930,1,113.9993718,22.47242379
Amaurornis phoenicurus,8,931,1,114.0090884,22.47243418
Amaurornis phoenicurus,8,656,1,114.0576403,22.50859894
Amaurornis phoenicurus,8,951,3,114.2034202,22.47251924
Amaurornis phoenicurus,9,930,1,113.9993718,22.47242379
Amaurornis phoenicurus,9,931,1,114.0090884,22.47243418
Amaurornis phoenicurus,9,656,1,114.0576403,22.50859894
Amaurornis phoenicurus,10,930,3,113.9993718,22.47242379
Amaurornis phoenicurus,10,931,2,114.0090884,22.47243418
Amaurornis phoenicurus,10,932,2,114.0188049,22.472444
Amaurornis phoenicurus,10,1004,1,114.0382471,22.46343147
Amaurornis phoenicurus,10,656,1,114.0576403,22.50859894
Amaurornis phoenicurus,10,675,1,114.2423035,22.50862974
Amaurornis phoenicurus,11,2677,1,113.9705549,22.24662682
Amaurornis phoenicurus,11,860,1,113.9993603,22.48145416
Amaurornis phoenicurus,11,656,2,114.0576403,22.50859894
Amaurornis phoenicurus,11,1218,2,114.0771302,22.43636887
Amaurornis phoenicurus,11,951,1,114.2034202,22.47251924
Amaurornis phoenicurus,12,860,2,113.9993603,22.48145416
Amaurornis phoenicurus,12,930,2,113.9993718,22.47242379
Amaurornis phoenicurus,12,656,2,114.0576403,22.50859894
Ambassis gymnocephalus,1,2629,1,114.1839759,22.2557882
Ambassis gymnocephalus,7,1457,1,114.358803,22.40920578
Ambassis gymnocephalus,9,2458,1,113.8831908,22.27358421
Ambassis gymnocephalus,11,1174,1,114.3297061,22.44535773
Ambassis gymnocephalus,12,2458,1,113.8831908,22.27358421
Ambassis gymnocephalus,12,1985,1,114.0480795,22.33701279
Ambassis gymnocephalus,12,1100,1,114.2908547,22.45442028
Amolops hongkongensis,1,1584,3,114.2325375,22.39123761
Amolops hongkongensis,6,1298,1,114.1742712,22.42736916
Amolops hongkongensis,7,1289,1,114.0868501,22.42734412
Amolops hongkongensis,7,2560,1,114.1936786,22.26481814
Amolops hongkongensis,10,1434,3,114.1354227,22.40930291
